date,close,simulated_close,order_flow,cluster_id,headline,action_random,action_momentum,action_contrarian,action_news
2024-01-01,98.3,98.29949969910592,0.0,1,Company A reports cooling earnings outlook,hold,hold,hold,hold
2024-01-02,98.44,98.31957784937416,1.0,1,Central bank hints at improving policy stance,buy,sell,buy,hold
2024-01-03,99.02,98.31974671013967,0.0,1,Commodity prices pressure amid supply shifts,hold,buy,sell,hold
2024-01-04,98.78,98.3387559355257,1.0,1,Tech sector sees weak investment inflows,buy,buy,sell,hold
2024-01-05,100.41,98.36027068374752,1.0,1,Geopolitical tensions support trade routes,buy,buy,sell,hold
2024-01-06,99.87,98.34137706132213,-1.0,2,Consumer demand shows strong trend,hold,buy,sell,sell
2024-01-07,98.25,98.34029581596549,0.0,1,Regulators propose strong oversight reforms,hold,sell,buy,hold
2024-01-08,99.53,98.34136033138184,0.0,0,Housing market data challenge expectations,hold,sell,buy,hold
2024-01-09,100.23,98.34136221849428,0.0,1,Energy firms announce cooling capital plans,hold,buy,sell,hold
2024-01-10,99.43,98.32039265752653,-1.0,1,Currency markets experience cooling volatility,sell,buy,sell,hold
2024-01-11,98.9,98.33876519132131,1.0,1,Company A reports stable earnings outlook,buy,sell,buy,hold
2024-01-12,99.26,98.3197843278394,-1.0,1,Central bank hints at mixed policy stance,sell,buy,sell,hold
2024-01-13,99.77,98.33878341693547,1.0,1,Commodity prices stabilize amid supply shifts,buy,sell,buy,hold
2024-01-14,100.29,98.3190120246867,-1.0,1,Tech sector sees mixed investment inflows,sell,buy,sell,hold
2024-01-15,100.31,98.31913373955884,0.0,1,Geopolitical tensions support trade routes,hold,sell,buy,hold
2024-01-16,99.38,98.29895310393759,-1.0,2,Consumer demand shows cooling trend,hold,buy,sell,sell
2024-01-17,99.36,98.27810805531927,-1.0,1,Regulators propose mixed oversight reforms,sell,sell,buy,hold
2024-01-18,100.24,98.25907353573668,-1.0,0,Housing market data reshape expectations,sell,sell,buy,hold
2024-01-19,101.88,98.27983202564772,1.0,1,Energy firms announce weak capital plans,buy,sell,buy,hold
2024-01-20,100.74,98.25984124829256,-1.0,1,Currency markets experience stable volatility,sell,buy,sell,hold
2024-01-21,101.45,98.27964028509419,1.0,1,Company A reports strong earnings outlook,buy,sell,buy,hold
2024-01-22,103.12,98.25964388668238,-1.0,1,Central bank hints at improving policy stance,sell,buy,sell,hold
2024-01-23,103.81,98.2806692042635,1.0,1,Commodity prices stabilize amid supply shifts,buy,sell,buy,hold
2024-01-24,103.36,98.2789488789321,0.0,1,Tech sector sees weak investment inflows,hold,buy,sell,hold
2024-01-25,103.25,98.25872381939665,-1.0,1,Geopolitical tensions stabilize trade routes,sell,sell,buy,hold
2024-01-26,103.49,98.25712217002877,0.0,2,Consumer demand shows improving trend,buy,sell,buy,sell
2024-01-27,102.47,98.25722666301665,0.0,1,Regulators propose stable oversight reforms,hold,sell,buy,hold
2024-01-28,102.19,98.23867697726601,-1.0,0,Housing market data challenge expectations,sell,buy,sell,hold
2024-01-29,101.9,98.25806782317925,1.0,1,Energy firms announce weak capital plans,buy,sell,buy,hold
2024-01-30,104.29,98.23826176199961,-1.0,1,Currency markets experience strong volatility,sell,buy,sell,hold
2024-01-31,104.17,98.25787703797079,1.0,1,Company A reports mixed earnings outlook,buy,sell,buy,hold
2024-02-01,103.35,98.25858087093617,0.0,1,Central bank hints at stable policy stance,hold,buy,sell,hold
2024-02-02,102.59,98.24108754589403,-1.0,1,Commodity prices pressure amid supply shifts,sell,buy,sell,hold
2024-02-03,102.48,98.2209882469924,-1.0,1,Tech sector sees strong investment inflows,sell,sell,buy,hold
2024-02-04,102.46,98.24123774251015,1.0,1,Geopolitical tensions pressure trade routes,buy,sell,buy,hold
2024-02-05,101.51,98.24107602770108,0.0,2,Consumer demand shows improving trend,buy,buy,sell,sell
2024-02-06,101.89,98.24162528807597,0.0,1,Regulators propose weak oversight reforms,hold,sell,buy,hold
2024-02-07,102.37,98.26282904916988,1.0,0,Housing market data support expectations,buy,buy,sell,hold
2024-02-08,102.88,98.28370556490196,1.0,1,Energy firms announce weak capital plans,buy,buy,sell,hold
2024-02-09,104.5,98.2843076703844,0.0,1,Currency markets experience stable volatility,hold,buy,sell,hold
2024-02-10,104.0,98.26468325516953,-1.0,1,Company A reports strong earnings outlook,sell,buy,sell,hold
2024-02-11,102.63,98.26352225034884,0.0,1,Central bank hints at cooling policy stance,hold,sell,buy,hold
2024-02-12,102.82,98.24453877464353,-1.0,0,Commodity prices support amid supply shifts,sell,sell,buy,hold
2024-02-13,103.16,98.22454393632738,-1.0,1,Tech sector sees weak investment inflows,sell,sell,buy,hold
2024-02-14,101.76,98.22307291852837,0.0,1,Geopolitical tensions pressure trade routes,hold,sell,buy,hold
2024-02-15,100.44,98.20483180761495,-1.0,2,Consumer demand shows strong trend,hold,sell,buy,sell
2024-02-16,100.17,98.2241362592632,1.0,1,Regulators propose improving oversight reforms,buy,sell,buy,hold
2024-02-17,99.12,98.22476011972215,0.0,0,Housing market data challenge expectations,hold,buy,sell,hold
2024-02-18,97.7,98.20456599756021,-1.0,1,Energy firms announce weak capital plans,sell,buy,sell,hold
2024-02-19,96.96,98.18454955731289,-1.0,1,Currency markets experience mixed volatility,sell,sell,buy,hold
2024-02-20,98.77,98.20325140751945,1.0,1,Company A reports stable earnings outlook,buy,sell,buy,hold
2024-02-21,97.16,98.20325294089439,0.0,1,Central bank hints at stable policy stance,hold,buy,sell,hold
2024-02-22,96.95,98.20257685994387,0.0,1,Commodity prices reshape amid supply shifts,hold,buy,sell,hold
2024-02-23,95.78,98.1828221687999,-1.0,1,Tech sector sees improving investment inflows,sell,sell,buy,hold
2024-02-24,96.49,98.16317952121123,-1.0,1,Geopolitical tensions pressure trade routes,sell,sell,buy,hold
2024-02-25,95.92,98.14350874040312,-1.0,2,Consumer demand shows cooling trend,hold,sell,buy,sell
2024-02-26,97.82,98.14311389162346,0.0,1,Regulators propose mixed oversight reforms,hold,sell,buy,hold
